CASA DORADA BASE PRODUCTS REPORT
Code; Name;Product type;Ingredients;State
1;arroz;Sol;;Portugal,Philippines;ACTIVE
2;fer;Ringgit;;Poland,Nicaragua;ACTIVE
3;Arroz Llanero;Dinar;;Russia,Philippines,Austria,Nicaragua;ACTIVE
4;Audi;Bebida;;Ostras,Costilla de cerdo,Papas;ACTIVE
5;Cybil;Sopa;;Costilla,Pollo,Camaron;ACTIVE
6;BMW;Postre;;Papas,Costilla de cerdo,Lomo Biche;ACTIVE
7;Alexandra;Bandeja;;Ostras,Verduras,Chicharron;ACTIVE
8;Chrysler;Sopa;;Pollo,Chorizo,Ostras;ACTIVE
9;Greta;Caldo;;Papas,Lomo de Cerdo Ahumado,Cerdo;ACTIVE
10;GMC;Plato Secundario;;Camaron,Cebolla,Lomo de Cerdo Ahumado;ACTIVE
11;Ford;Plato Principal;;Papas a la Francesa,Cebolla,Ostras;ACTIVE
12;Ailey;Bandeja;;Cerdo,Papas a la Francesa,Pollo;ACTIVE
13;Jaquelin;Plato Principal;;Chicharron,Chorizo,Chicharron;ACTIVE
14;Land Rover;Caldo;;Chicharron,Pollo,Batavia;ACTIVE
15;Porsche;Caldo;;Verduras,Maduro,Verduras;ACTIVE
16;Saab;Plato Principal;;Cabano,Chorizo,Chicharron;ACTIVE
17;Mitsubishi;Sopa;;Batavia,Cebolla,Jamon;ACTIVE
18;Nissan;Plato Principal;;Cabano,Chuleta,Maduro;ACTIVE
19;Pontiac;Bebida;;Chuleta,Costilla,Chorizo;ACTIVE
20;Mercury;Postre;;Ostras,Batavia,Pollo;ACTIVE
21;Sharity;Bandeja;;Papas,Pulpo,Cebolla;ACTIVE
22;Chevrolet;Plato Principal;;Costilla de cerdo,Jamon,Costilla de cerdo;ACTIVE
23;Toyota;Postre;;Lomo de Cerdo Ahumado,Ostras,Chuleta;ACTIVE
24;Hew;Bandeja;;Papas a la Francesa,Lomo de Cerdo Ahumado,Lomo Biche;ACTIVE
25;Kimble;Bebida;;Lomo Biche,Batavia,Chorizo;ACTIVE
26;Merkur;Postre;;Chorizo,Jamon,Cebolla;ACTIVE
27;Infiniti;Postre;;Chuleta,Pulpo,Chorizo;ACTIVE
28;Bernita;Postre;;Chorizo,Lomo de Cerdo Ahumado,Lomo Biche;ACTIVE
29;Lorne;Sopa;;Batavia,Maduro,Maduro;ACTIVE
30;Pepi;Plato Principal;;Cebolla,Papas a la Francesa,Verduras;ACTIVE
31;Dodge;Bebida;;Costilla,Jamon,Cerdo;ACTIVE
