CASA DORADA INGREDIENTS REPORT
Code;Name;State
1;Verduras;ACTIVE
2;Uzbekistan;ACTIVE
3;Uruguay;ACTIVE
4;United States;ACTIVE
5;Ukraine;ACTIVE
6;Uganda;ACTIVE
7;Tunisia;ACTIVE
62;Tortilla de huevo;ACTIVE
8;Sweden;ACTIVE
9;Spain;ACTIVE
10;Serbia;ACTIVE
11;Senegal;ACTIVE
12;Russia;ACTIVE
68;Pulpo;ACTIVE
13;Portugal;ACTIVE
60;Pollo;ACTIVE
14;Poland;ACTIVE
15;Philippines;ACTIVE
16;Peru;ACTIVE
17;Paraguay;ACTIVE
18;Papas a la Francesa;ACTIVE
65;Papas;ACTIVE
19;Panama;ACTIVE
20;Palestinian Territory;ACTIVE
21;Pakistan;ACTIVE
67;Ostras;ACTIVE
22;Norway;ACTIVE
23;Nicaragua;ACTIVE
24;Netherlands;ACTIVE
25;Morocco;ACTIVE
26;Mongolia;ACTIVE
27;Mauritius;ACTIVE
28;Mali;ACTIVE
29;Malaysia;ACTIVE
64;Maduro;ACTIVE
30;Lomo de Cerdo Ahumado;ACTIVE
31;Lomo Biche;ACTIVE
32;Lechuga;ACTIVE
33;Kazakhstan;ACTIVE
34;Japan;ACTIVE
35;Jamon;ACTIVE
36;Ireland;ACTIVE
37;Iran;ACTIVE
38;Indonesia;ACTIVE
39;France;ACTIVE
40;Ethiopia;ACTIVE
41;Ecuador;ACTIVE
42;Czech Republic;ACTIVE
63;Costilla de cerdo;ACTIVE
43;Costilla;ACTIVE
44;Colombia;ACTIVE
45;Chuleta;ACTIVE
46;Chorizo;ACTIVE
47;China;ACTIVE
48;Chicharron;ACTIVE
49;Cerdo;ACTIVE
66;Cebolla;ACTIVE
50;Cape Verde;ACTIVE
51;Canada;ACTIVE
61;Camaron;ACTIVE
52;Cabano;ACTIVE
53;Brazil;ACTIVE
54;Bolivia;ACTIVE
55;Batavia;ACTIVE
56;Austria;ACTIVE
57;Armenia;ACTIVE
58;Argentina;ACTIVE
59;Afghanistan;ACTIVE
