CASA DORADA PRODUCTS REPORT
Code; Name;Product type;Product size;Ingredients;State;Price
1;Mercedes-Benz;Sopa;Familiar;Costilla de cerdo,Cabano,Camaron;ACTIVE;104389.0
2;Oldsmobile;Postre;Personal;Batavia,Pulpo,Costilla de cerdo;ACTIVE;72057.0
3;Mercury;Bandeja;Personal;Ostras,Costilla de cerdo,Chorizo;ACTIVE;148600.0
4;Ford;Sopa;Caja para dos;Batavia,Costilla,Lomo de cerdo ahumado;ACTIVE;75062.0
5;Toyota;Postre;Personal;Pulpo,Camaron,Pollo;ACTIVE;120268.0
6;Janeva;Caldo;Personal;Chorizo,Chuleta,Ostras;ACTIVE;97307.0
7;Nissan;Caldo;Personal;Costilla de cerdo,Batavia,Chicharron;ACTIVE;67095.0
8;Kia;Adicionales;Caja personal;Papas,Verduras,Chicharron;ACTIVE;93704.0
9;Nissan;Caldo;Caja para dos;Costilla de cerdo,Batavia,Chicharron;ACTIVE;8483.0
10;Mercury;Bandeja;Caja para dos;Ostras,Costilla de cerdo,Chorizo;ACTIVE;56020.0
11;Chrysler;Caldo;Combo para dos;Ostras,Papas a la francesa,Chicharron;ACTIVE;25581.0
12;Chop Suey;Plato principal;Combo para dos;Maduro,Costilla,Lomo biche;ACTIVE;141564.0
13;Mercury;Bandeja;Familiar;Ostras,Costilla de cerdo,Chorizo;ACTIVE;55329.0
14;Rosabelle;Caldo;Caja para dos;Maduro,Cabano,Cebolla;ACTIVE;6942.0
15;Nissan;Caldo;Combo para dos;Costilla de cerdo,Batavia,Chicharron;ACTIVE;18416.0
16;Phil;Plato secundario;Familiar;Papas a la francesa,Papas,Costilla de cerdo;ACTIVE;72145.0
17;Pontiac;Postre;Caja personal;Pollo,Lomo biche,Papas a la francesa;ACTIVE;110336.0
18;Jaguar;Plato principal;Personal;Camaron,Papas a la francesa,Costilla de cerdo;ACTIVE;61881.0
19;Josh;Plato principal;Combo para dos;Pulpo,Chicharron,Jamon;ACTIVE;65872.0
20;Infiniti;Adicionales;Caja para dos;Chicharron,Cebolla,Verduras;ACTIVE;140323.0
21;Flossy;Bebida;Personal;Pulpo,Cerdo,Lomo biche;ACTIVE;128107.0
22;BMW;Bandeja;Caja personal;Lomo de cerdo ahumado,Cebolla,Cebolla;ACTIVE;9767.0
23;Jania;Adicionales;Familiar;Lomo biche,Verduras,Lomo biche;ACTIVE;139702.0
24;Nicky;Plato secundario;Personal;Costilla de cerdo,Lomo biche,Lomo biche;ACTIVE;79798.0
25;Suzanne;Caldo;Caja personal;Cabano,Ostras,Pollo;ACTIVE;112291.0
26;BMW;Bandeja;Familiar;Lomo de cerdo ahumado,Cebolla,Cebolla;ACTIVE;20022.0
27;Mazda;Bebida;Caja para dos;Pulpo,Batavia,Costilla;ACTIVE;69361.0
28;Maible;Bandeja;Combo para dos;Cabano,Chuleta,Chorizo;ACTIVE;56212.0
29;Smith;Postre;Caja personal;Chorizo,Cebolla,Cerdo;ACTIVE;58797.0
30;Volkswagen;Plato secundario;Caja personal;Papas,Lomo biche,Maduro;ACTIVE;72118.0
31;Clemmie;Adicionales;Combo para dos;Chicharron,Papas a la francesa,Papas;ACTIVE;24244.0
32;Lincoln;Adicionales;Familiar;Papas a la francesa,Cabano,Maduro;ACTIVE;10720.0
33;Aston Martin;Bandeja;Caja para dos;Cabano,Cerdo,Camaron;ACTIVE;47538.0
34;Maybach;Plato principal;Personal;Chorizo,Papas a la francesa,Jamon;ACTIVE;1826.0
35;Toyota;Postre;Caja para dos;Pulpo,Camaron,Pollo;ACTIVE;73354.0
36;GMC;Postre;Caja para dos;Verduras,Chicharron,Verduras;ACTIVE;88667.0
37;Isuzu;Bebida;Caja para dos;Chuleta,Papas,Pollo;ACTIVE;93699.0
38;Seline;Sopa;Personal;Cebolla,Jamon,Maduro;ACTIVE;63636.0
39;GMC;Postre;Familiar;Verduras,Chicharron,Verduras;ACTIVE;42135.0
40;Raquel;Bandeja;Personal;Jamon,Chorizo,Camaron;ACTIVE;46784.0
41;Isidora;Plato principal;Combo para dos;Maduro,Papas,Lomo de cerdo ahumado;ACTIVE;133303.0
42;Acura;Bandeja;Familiar;Costilla de cerdo,Chuleta,Maduro;ACTIVE;118404.0
43;Dodge;Sopa;Personal;Cebolla,Batavia,Costilla de cerdo;ACTIVE;48501.0
44;Ford;Sopa;Combo para dos;Batavia,Costilla,Lomo de cerdo ahumado;ACTIVE;38313.0
45;Audi;Bebida;Personal;Ostras,Costilla de cerdo,Papas;ACTIVE;125512.0
46;Volkswagen;Plato secundario;Familiar;Papas,Lomo biche,Maduro;ACTIVE;45244.0
47;Honda;Sopa;Combo para dos;Batavia,Chuleta,Pollo;ACTIVE;147543.0
48;Mercedes-Benz;Sopa;Caja para dos;Costilla de cerdo,Cabano,Camaron;ACTIVE;82797.0
49;Chevrolet;Caldo;Caja personal;Cebolla,Camaron,Chuleta;ACTIVE;141511.0
50;Oldsmobile;Postre;Caja para dos;Batavia,Pulpo,Costilla de cerdo;ACTIVE;31187.0
51;Theo;Bandeja;Familiar;Papas,Cebolla,Lomo biche;ACTIVE;102905.0
52;Isuzu;Bebida;Combo para dos;Chuleta,Papas,Pollo;ACTIVE;55934.0
53;Volvo;Bandeja;Personal;Chicharron,Chorizo,Batavia;ACTIVE;114190.0
54;Mitsubishi;Caldo;Caja personal;Chuleta,Cerdo,Maduro;ACTIVE;141143.0
55;Selig;Sopa;Caja personal;Ostras,Chorizo,Verduras;ACTIVE;18248.0
56;Nissan;Caldo;Familiar;Costilla de cerdo,Batavia,Chicharron;ACTIVE;63060.0
57;Dodge;Sopa;Caja personal;Cebolla,Batavia,Costilla de cerdo;ACTIVE;35646.0
58;Chevrolet;Caldo;Personal;Cebolla,Camaron,Chuleta;ACTIVE;149794.0
59;Plymouth;Bandeja;Combo para dos;Ostras,Maduro,Costilla;ACTIVE;85822.0
60;Land Rover;Sopa;Familiar;Lomo de cerdo ahumado,Chorizo,Camaron;ACTIVE;19501.0
61;Jaguar;Plato principal;Combo para dos;Camaron,Papas a la francesa,Costilla de cerdo;ACTIVE;145625.0
62;Land Rover;Sopa;Caja para dos;Lomo de cerdo ahumado,Chorizo,Camaron;ACTIVE;15492.0
63;Kakalina;Plato principal;Caja personal;Pulpo,Papas a la francesa,Chuleta;ACTIVE;19346.0
64;Chevrolet;Caldo;Combo para dos;Cebolla,Camaron,Chuleta;ACTIVE;91788.0
65;Dido;Bandeja;Combo para dos;Lomo de cerdo ahumado,Chicharron,Batavia;ACTIVE;116928.0
66;Padraic;Bandeja;Caja para dos;Batavia,Cerdo,Lomo de cerdo ahumado;ACTIVE;20470.0
67;Devora;Sopa;Personal;Cebolla,Lomo biche,Cebolla;ACTIVE;95837.0
68;Teador;Adicionales;Personal;Chorizo,Chicharron,Papas a la francesa;ACTIVE;36783.0
69;Mazda;Bebida;Caja personal;Pulpo,Batavia,Costilla;ACTIVE;53886.0
70;Arroz Colombiano;Bebida;Caja para dos;Cabano,Papas,Pollo;ACTIVE;109958.0
71;Pontiac;Postre;Combo para dos;Pollo,Lomo biche,Papas a la francesa;ACTIVE;77211.0
72;Jaguar;Plato principal;Caja personal;Camaron,Papas a la francesa,Costilla de cerdo;ACTIVE;80045.0
73;Mercedes-Benz;Sopa;Personal;Costilla de cerdo,Cabano,Camaron;ACTIVE;35018.0
74;Lexus;Adicionales;Caja personal;Camaron,Chuleta,Chicharron;ACTIVE;102343.0
75;Chevrolet;Caldo;Familiar;Cebolla,Camaron,Chuleta;ACTIVE;148801.0
76;Honda;Sopa;Familiar;Batavia,Chuleta,Pollo;ACTIVE;104020.0
77;Honda;Sopa;Personal;Batavia,Chuleta,Pollo;ACTIVE;124783.0
78;Ford;Sopa;Familiar;Batavia,Costilla,Lomo de cerdo ahumado;ACTIVE;143839.0
79;Ford;Sopa;Caja personal;Batavia,Costilla,Lomo de cerdo ahumado;ACTIVE;68763.0
80;Acura;Bandeja;Caja para dos;Costilla de cerdo,Chuleta,Maduro;ACTIVE;9928.0
81;Chevrolet;Caldo;Caja para dos;Cebolla,Camaron,Chuleta;ACTIVE;57495.0
82;Myrta;Bebida;Combo para dos;Jamon,Ostras,Cabano;ACTIVE;121186.0
83;Nora;Caldo;Caja para dos;Cerdo,Jamon,Cebolla;ACTIVE;63064.0
84;Mitsubishi;Caldo;Combo para dos;Chuleta,Cerdo,Maduro;ACTIVE;73353.0
85;Rolls-Royce;Plato secundario;Combo para dos;Cabano,Costilla,Jamon;ACTIVE;50028.0
86;Subaru;Adicionales;Caja para dos;Costilla,Costilla de cerdo,Chorizo;ACTIVE;70555.0
87;Matthieu;Sopa;Caja personal;Pollo,Lomo de cerdo ahumado,Lomo biche;ACTIVE;51800.0
88;Subaru;Adicionales;Familiar;Costilla,Costilla de cerdo,Chorizo;ACTIVE;148330.0
