CASA DORADA PRODUCT SIZE REPORT
Code;Name;Status
1;Mazda;ACTIVE
2;Suzuki;ACTIVE
3;Lincoln;ACTIVE
4;Toyota;ACTIVE
5;Subaru;ACTIVE
6;Oldsmobile;ACTIVE
7;Audi;ACTIVE
8;Volvo;ACTIVE
9;Ford;ACTIVE
10;BMW;ACTIVE
11;Infiniti;ACTIVE
12;Isuzu;ACTIVE
13;Honda;ACTIVE
14;GMC;ACTIVE
15;Geo;ACTIVE
16;Buick;ACTIVE
17;Pontiac;ACTIVE
18;Chevrolet;ACTIVE
19;Dodge;ACTIVE
20;Nissan;ACTIVE
21;Chrysler;ACTIVE
22;Hyundai;ACTIVE
23;Austin;ACTIVE
24;Lexus;ACTIVE
25;Acura;ACTIVE
26;Cadillac;ACTIVE
27;Saab;ACTIVE
28;Scion;ACTIVE
29;Mercedes-Benz;ACTIVE
30;Porsche;ACTIVE
31;Volkswagen;ACTIVE
32;Mercury;ACTIVE
33;Mitsubishi;ACTIVE
34;Morgan;ACTIVE
35;Grande;ACTIVE
36;Pequeno;ACTIVE
37;Combo;ACTIVE
38;Combo para dos;ACTIVE
39;Personal;ACTIVE
40;Familiar;ACTIVE
41;Caja personal;ACTIVE
42;Caja para dos;ACTIVE
