CASA DORADA PRODUCT TYPE REPORT
Code;Name;Status
1;Ruble;ACTIVE
2;Sol;ACTIVE
3;Ringgit;ACTIVE
4;Yuan Renminbi;ACTIVE
5;Dinar;ACTIVE
6;Hryvnia;ACTIVE
7;Rupiah;ACTIVE
8;Gourde;ACTIVE
9;Dollar;ACTIVE
10;Euro;ACTIVE
11;Shilling;ACTIVE
12;Colon;ACTIVE
13;Franc;ACTIVE
14;Rial;ACTIVE
15;Krona;ACTIVE
16;Lek;ACTIVE
17;Manat;ACTIVE
18;Yen;ACTIVE
19;Marka;ACTIVE
20;Peso;ACTIVE
21;Real;ACTIVE
22;Pound;ACTIVE
23;Zloty;ACTIVE
24;Rupee;ACTIVE
25;Cordoba;ACTIVE
26;Won;ACTIVE
27;Baht;ACTIVE
28;Koruna;ACTIVE
29;Tenge;ACTIVE
30;Bandeja;ACTIVE
31;Plato Principal;ACTIVE
32;Plato Secundario;ACTIVE
33;Bebida;ACTIVE
34;Postre;ACTIVE
35;Adicional;ACTIVE
36;Sopa;ACTIVE
37;Caldo;ACTIVE
38;Ensalada;ACTIVE
